,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
271414,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Hyderabad,Business,15.75,19,52175
271415,Vistara,UK-708,Kolkata,Night,one,Afternoon,Hyderabad,Business,16.17,20,52175
271416,Vistara,UK-738,Kolkata,Evening,one,Afternoon,Hyderabad,Business,17.83,21,52175
271417,Vistara,UK-708,Kolkata,Night,one,Evening,Hyderabad,Business,20.58,22,52175
271418,Vistara,UK-738,Kolkata,Evening,one,Evening,Hyderabad,Business,22.25,23,52175
271419,Vistara,UK-706,Kolkata,Morning,one,Morning,Hyderabad,Business,23.42,24,52175
271420,Air_India,AI-768,Kolkata,Afternoon,one,Night,Hyderabad,Business,8.08,25,52063
271421,Air_India,AI-402,Kolkata,Morning,one,Evening,Hyderabad,Business,8.92,26,52063
271422,Air_India,AI-763,Kolkata,Early_Morning,one,Evening,Hyderabad,Business,12.33,27,52063
271423,Air_India,AI-402,Kolkata,Morning,one,Night,Hyderabad,Business,13.17,28,52063
271424,Air_India,AI-770,Kolkata,Night,one,Morning,Hyderabad,Business,14,29,52063
271425,Air_India,AI-770,Kolkata,Night,one,Morning,Hyderabad,Business,15.42,30,52063
271426,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Hyderabad,Business,16.58,31,52063
271427,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Hyderabad,Business,19,32,52063
271428,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Hyderabad,Business,20.42,33,52063
271429,Air_India,AI-770,Kolkata,Night,one,Evening,Hyderabad,Business,22.83,34,52063
271430,Air_India,AI-770,Kolkata,Night,one,Night,Hyderabad,Business,24.08,35,52063
271431,Vistara,UK-778,Kolkata,Afternoon,one,Night,Hyderabad,Business,7.58,36,53071
271432,Vistara,UK-778,Kolkata,Afternoon,one,Morning,Hyderabad,Business,18.33,37,53071
271433,Vistara,UK-778,Kolkata,Afternoon,one,Afternoon,Hyderabad,Business,21.25,38,53071
271434,Air_India,AI-732,Kolkata,Afternoon,two_or_more,Morning,Hyderabad,Business,21.5,39,56435
271435,Vistara,UK-708,Kolkata,Night,one,Evening,Hyderabad,Business,23.5,40,58750
